"","_","did","handle","createdAt","indexedAt","displayName","description","followersCount","followsCount","postsCount","avatar","labels","banner","associated.lists","associated.feedgens","associated.starterPacks","associated.labeler","pinnedPost.uri","pinnedPost.cid","associated.chat.allowIncoming","labels.0.src","labels.0.uri","labels.0.cid","labels.0.val","labels.0.cts"
"37",,"did:plc:fjof34bhzgt6oqblcjvimbef","moritzkoerner.bsky.social","2024-12-04T14:50:10.047Z","2024-12-04T14:50:44.045Z","Moritz Körner","Mitglied des Europäischen Parlaments • Generalsekretär @fdp_nrw • Haushalt 💶 Rechtsstaat 🗽 Bürgerrechte 👮‍♂️","87","22","15","1","[]","0","0","0","0","false","0","0",,,,,,
"38",,"did:plc:cje6gvozp23qhqi4dlumpai2","andreasschwab.bsky.social","2023-10-30T15:19:06.115Z","2025-01-03T09:53:20.142Z","Andreas Schwab","Gemeindepräsident von Bremgarten bei Bern (SP), Autor, Ausstellungsmacher\n2024: Freiheit, Rausch und schwarze Katzen. Eine Geschichte der Boheme.\n\n","531","356","165","1","[]","1","0","0","0","false","0","0","following",,,,,
"39",,"did:plc:w4ltw6bnuhzjmhzfrl5gb5uo","bergerstefan.bsky.social","2025-01-01T12:25:06.242Z","2025-01-01T13:07:43.043Z","Stefan Berger","Stadtpräsident von Burgdorf, SP-Grossrat Kanton Bern\nFrüher: Unternehmer und Gründer von #reseachem und #reseatech\n\nlinkedin.com/in/stefan-berger-356a3511\n\nhttps://www.instagram.com/stefan.berger_/\n\nwww.stefanberger.ch","114","31","1","1","[]","1","0","0","0","false","0","0",,,,,,
"40",,"did:plc:jt3u5k3ifplg3mbrtk67n2ee","chschneider.bsky.social","2023-10-17T12:50:23.020Z","2024-01-20T07:44:16.778Z","Christian Schneider","Computer Scientist working on Adobe Experience Cloud. Apache committer and member. \n日本語を学びたい.","12","24","23","1","[]","1","0","0","0","false","0","0","following",,,,,
"41",,"did:plc:pvveimyasl42ymrdkqbb2v64","msaraswati.bsky.social","2023-10-21T00:12:08.183Z","2024-01-20T07:51:46.376Z","M Saraswati","I enjoy long books & building things. OSU Poli Sci PhD. Views are my own. ","75","20","1","1","[]","0","0","0","0","false","0","0",,,,,,
"42",,"did:plc:yr5hqedbe5dt6uzcg2t4rv2c","hennavirkkunen.bsky.social","2025-01-09T07:01:00.144Z","2025-01-11T14:34:47.144Z","",,"1180","3","5","1","[]","1","0","0","0","false","0","0",,,,,,
"43",,"did:plc:bczxm5y675fdnycqxdgovwl6","beataszydlo.bsky.social","2024-11-12T13:53:24.316Z","2024-11-16T16:39:34.673Z","Beata Szydlo - prior primer of Poland","Kobieta, Polityczka, Premierka\nPrzez osiem ostatnich lat zrobiliśmy dla Polski więcej niż ktokolwiek.\nKiedy wrócimy do władzy - powtórzymy to!\n\n\n\n\n\nKonto parodystyczno satyryczno kolekcjonerskie.","207","14","18","1","[]","0","0","0","0","false","0","0",,,,,,
"44",,"did:plc:mudyazw4xnildzssf2wi2q32","parholmgren.bsky.social","2025-01-29T13:09:50.043Z","2025-01-29T13:31:16.644Z","Pär Holmgren","EUparlamentariker för Miljöpartiet. Senaste bok: ""Det minsta vi kan göra är så mycket som möjligt och lite till"". Föreläst om klimatfrågan sedan 1990-talet.🌍🌱","153","23","4","1","[]","1","0","0","0","false","0","0",,,,,,
"45",,"did:plc:742der6h3sfcweravhu4fost","gillesboyer.bsky.social","2023-08-25T06:24:49.819Z","2025-01-21T10:42:04.944Z","Gilles Boyer","Député européen Renew Europe et Horizons","46","9","0","0","[]","0","0","0","0","false","0","0",,,,,,
"46",,"did:plc:nr5tglxn4ne46zuwnwyynbmg","jordisolef.bsky.social","2024-11-27T21:05:41.747Z","2024-11-29T21:13:50.645Z","Jordi Solé i Ferrando","Politòleg. Consultor en projectes europeus i internacionals. Professor a la @udg. Ex eurodiputat i ex moltes altres coses en política, amb @esquerra_erc","197","274","6","1","[]","1","0","0","0","false","0","0",,,,,,
"47",,"did:plc:dbcqxxsta73birta4c6q2zox","nnienass.bsky.social","2023-10-07T16:13:46.928Z","2024-01-20T07:31:03.592Z","Niklas Nienaß","Member of the European Parliament 🇪🇺 Greens/EFA\nSustainability, Equality and Diversity in Rural Areas 🌻 Space 🚀 and Culture 🎨 ig: niklasnienass","659","27","69","1","[]","1","0","0","0","false","0","0",,,,,,
"48",,"did:plc:3h7cp4ti45fjipsyzvcdvsyy","javilopezeu.bsky.social","2024-11-18T09:57:41.245Z","2025-01-07T11:05:20.343Z","Javi López","Vicepresidente del Parlamento Europeo | Diputat del PSC al Parlament Europeu | S&D MEP","184","124","70","1","[]","1","0","0","0","false","0","0",,,,,,
"49",,"did:plc:o75cp3eruq2ecmg7jgt6vauf","jorgebuxade.bsky.social","2024-11-17T01:39:40.349Z","2024-11-17T01:40:38.629Z","Jorge Buxadé","Soy feo de cojones y Arriba España","36","2","0","1","[]","1","0","0","0","false","0","0",,,,,,
"50",,"did:plc:grdxjcob6c2dt7ruksihi7tm","sylvieguillaume.bsky.social","2023-11-27T16:07:27.171Z","2024-01-20T08:36:16.144Z","Sylvie Guillaume",,"243","28","1","1","[]","0","0","0","0","false","0","0","following",,,,,
"51",,"did:plc:6h6npzryg3phjstwn4ffqzhj","inesevaidere.bsky.social","2025-01-17T09:21:47.142Z","2025-01-17T09:22:49.942Z","Inese Vaidere","Member of the European Parliament\nEiropas Parlamenta deputāte","11","15","13","1","[]","0","0","0","0","false","0","0",,,,,,
"52",,"did:plc:fewkb2bui7ct3voaz5wnd5e7","mbompard.bsky.social","2024-11-12T07:04:43.614Z","2025-02-13T07:12:25.550Z","Manuel Bompard","• Député de Marseille 🇫🇷 \n• Coordinateur national de la @Franceinsoumise🔻 \n• https://linktr.ee/manuelbompard","21589","154","203","1","[]","0","0","0","0","false","1","1",,,,,,
"53",,"did:plc:hzl45a35phqsnp5h2e2gpc4s","sirarego.bsky.social","2023-10-10T11:19:42.017Z","2024-11-25T13:52:04.345Z","Sira Rego","▫️Ministra de Juventud e Infancia del Gobierno de España ▫️","5534","253","176","1","[]","1","0","0","0","false","0","0",,,,,,
"54",,"did:plc:7hcmc4rki3gwfiva3ce3cazl","galleerie.bsky.social","2023-10-02T19:11:13.839Z","2024-11-18T13:52:20.350Z","Malte Gallée","Youngest German Member of the European Parliament a.D. 🇪🇺  🌍♻️ Working on circular economy to #endwaste","585","55","108","1","[]","1","0","0","0","false","0","0",,,,,,
"55",,"did:plc:hmhgigl6f5kv6dmvi4ksurcb","ernesturtasun.bsky.social","2024-09-11T10:42:30.418Z","2024-11-20T09:32:22.370Z","Ernest Urtasun","Ministro de Cultura del Gobierno de España | Economista & Diplomático | 📷 https://instagram.com/e_urtasun | 📲 https://t.me/ErnestUrtasun | ✍️ https://x.com/ernesturtasun ","11249","95","339","1","[]","1","0","0","0","false","0","0","following",,,,,
"56",,"did:plc:ro4fcub6rj2loryxaviujeyi","katieex.bsky.social","2025-02-06T10:35:49.845Z","2025-02-06T10:36:49.445Z","Arba kokalari",,"1","1","0","1","[]","0","0","0","0","false","0","0",,,,,,
"57",,"did:plc:y3lqik6qutipsy25tb6qu4m4","mhoogeveen.bsky.social","2024-11-15T13:39:41.421Z","2024-12-02T11:23:31.246Z","Michiel Hoogeveen","Former Member of European Parliament | Political Scientist | Geopolitics | North Korea","8","16","0","1","[]","0","0","0","0","false","0","0",,,,,,
"58",,"did:plc:o3fi3drqnievg5feu5gdbnbc","mkierwinski.bsky.social","2024-11-30T21:55:57.648Z","2024-12-01T10:41:53.246Z","Marcin Kierwiński","Minister ds. odbudowy po powodzi. Sekretarz Generalny PO, Szef PO w Warszawie. Były szef MSWiA. Prywatnie ojciec Ewy, Agi i Piotra","1534","49","41","1","[]","1","0","0","0","false","0","0",,,,,,
"59",,"did:plc:qie62js74fx5b7vm6vynj3zm","linealidell.bsky.social","2024-11-17T18:05:59.228Z","2024-11-17T18:14:44.638Z","Linea Søgaard-Lidell","Medlem af Folketinget for Venstre. Tidl. MEP. Klima- og energiordfører. Ligestillingsordfører.","2197","236","4","1","[]","0","0","0","0","false","0","0",,,,,,
